# YYYYMMDD, RMM1, RMM2, Phase, Amplitude,RMM1_filt,RMM2_filt,Phase_filt,Amplitude_filt
19800714,-0.194510795,0.447734191,7,0.488160173,0.06185984957499999,0.14870418425000004,6.0,0.161057677
19800715,-0.388385421,0.371870541,8,0.537708968,-0.12343814304166667,0.07622028725833335,8.0,0.145074145
19800716,-0.288545294,0.572253091,7,0.640883754,-0.016674296774999986,0.28157018935,7.0,0.282063474
19800717,-0.208785186,0.696128005,7,0.726763684,0.06831910165000005,0.4105198930083334,6.0,0.416165931
19800718,-0.181453886,0.783989028,7,0.804713806,0.09917373372500005,0.5032636053833335,6.0,0.512942186
19800719,-0.137630729,0.653105906,7,0.667450029,0.1448375649416666,0.37891961654166667,6.0,0.405657486
19800720,-0.403492877,0.653372916,7,0.767921004,-0.11722759810833333,0.386770120775,7.0,0.404145315
19800721,-0.847160934,0.549855047,8,1.009961495,-0.5521260246583335,0.2909491536833333,8.0,0.62409499
19800722,-1.125779374,0.390101869,8,1.191452335,-0.8193632632416665,0.140897201675,8.0,0.831389306
19800723,-1.329178677,0.495200389,8,1.41842849,-1.0107416199416668,0.25621514278333335,8.0,1.042710325
19800724,-1.284136925,0.242821712,8,1.306893272,-0.9557327400500001,0.01875275526666667,8.0,0.955916699
19800725,-1.133909897,0.061006403,8,1.135549839,-0.8003195536833334,-0.14448497237499996,1.0,0.813257214
19800726,-1.163669349,-0.095792069,1,1.167605445,-0.8277889631166667,-0.28077574011666667,1.0,0.874110739
19800727,-1.328863918,-0.136891073,1,1.335896133,-0.9938028912999999,-0.30245722402499997,1.0,1.038809202
19800728,-1.331555214,0.01432084,8,1.331632222,-1.0035469080916668,-0.13448115374166666,1.0,1.012517446
19800729,-1.413421142,0.197655021,8,1.427174423,-1.0972957397416667,0.06283192359999998,8.0,1.099093168
19800730,-1.520279797,0.379453719,8,1.566919202,-1.21453117875,0.25369990460833336,8.0,1.240745593
19800731,-1.540441321,0.050918614,8,1.541282638,-1.243383912075,-0.06686305393333335,1.0,1.245180397
19800801,-1.724778238,-0.390873683,1,1.768514124,-1.4331244975333335,-0.49901819212500004,1.0,1.517519351
19800802,-1.539206589,-0.735963327,1,1.706106369,-1.252972704875,-0.8337708878333333,1.0,1.505029732
19800803,-1.420984082,-0.798509472,1,1.629973355,-1.1415602593833332,-0.8875686051083334,1.0,1.446007557
19800804,-1.105764273,-0.812735337,1,1.372316784,-0.8359101297333332,-0.8951965143416667,2.0,1.224794899
19800805,-0.949828643,-0.707142578,1,1.18415585,-0.6910141602666666,-0.7843736443833333,2.0,1.045343285
19800806,-0.869359879,-0.637811802,1,1.078234897,-0.6210656164916667,-0.7121294924333333,2.0,0.944907886
19800807,-0.781039348,-0.82122187,2,1.133326,-0.5425885273,-0.8932712345833334,2.0,1.045148702
19800808,-0.679882728,-0.769161168,2,1.026571686,-0.44910452843333337,-0.843072060575,2.0,0.955230536
19800809,-0.727682155,-0.740983401,2,1.038545964,-0.5006338054583334,-0.8185792431583334,2.0,0.959534359
