,nino3,nino4,nino34,nino12,indocW,indocE
1982-07-28,24.50715500182612,29.559406050856232,28.040291966828097,21.853734790260294,27.34039433491163,28.636823516832308
1982-07-29,24.4474858980116,29.57789679960193,27.98341373507222,21.780598489556205,27.400330601515403,28.33679344625168
1982-07-30,24.396308267274197,29.579020445488926,27.927286561608124,21.713908404950857,27.452004144858424,28.014536029172298
1982-07-31,24.380317963978776,29.572277656244445,27.898983924679047,21.670975057744947,27.490654049184357,27.72617962360504
1982-08-01,24.426222837017587,29.567105749012924,27.925573263009408,21.669374022125925,27.51159464397066,27.527742072672268
1982-08-02,24.501400544190393,29.558057979233055,28.00563033262083,21.691027267449474,27.50788890614312,27.5121932762428
1982-08-03,24.56342995903777,29.538427449475805,28.104589345645795,21.712675802097056,27.478924050168676,27.670619619748134
1982-08-04,24.623974939742084,29.516148307948555,28.20018825037532,21.74392088118692,27.42833551362642,27.907386773269227
1982-08-05,24.6946371541379,29.499201925485355,28.270101446867308,21.794404911949567,27.359792963324374,28.127021051460172
1982-08-06,24.787067822806186,29.495561983630484,28.29211661275565,21.873682439492775,27.276871331309607,28.233972537853226
1982-08-07,24.850785593130922,29.512870349376247,28.24115677233704,21.943103785387155,27.2146861657677,28.205039422315004
1982-08-08,24.84960602630828,29.543621407207137,28.131743565784106,21.969310630127154,27.19202517941749,28.09616714610217
1982-08-09,24.815895068651205,29.57356476064258,28.001003056487587,21.96946876310908,27.188241516257502,27.931570553661505
1982-08-10,24.78205446494077,29.58837192701976,27.886029261716736,21.960775509339413,27.182588362939068,27.735516871090333
1982-08-11,24.78041593474514,29.573832605872514,27.823943598731663,21.96033791288487,27.154419738769196,27.53212876681776
1982-08-12,24.809549151437576,29.534975853802692,27.83242499344924,21.954392658505064,27.12842221840814,27.382028593477262
1982-08-13,24.83903594440605,29.48854493332561,27.88995988438939,21.924263523140187,27.12971997980061,27.313071728340496
1982-08-14,24.85695916562281,29.43810159702161,27.975052762762733,21.879860158101653,27.13924162665329,27.3023680227726
1982-08-15,24.851417904038957,29.38725352719548,28.066254617202368,21.83097630404722,27.137822972245704,27.326965351862214
1982-08-16,24.810488968716868,29.339494419236924,28.141976593710396,21.787666896858976,27.106339592553027,27.36392982475126
1982-08-17,24.73246542303774,29.31650321304668,28.178295171537947,21.74288546506199,27.043441659807975,27.43002594145464
1982-08-18,24.637142948825595,29.325828087395198,28.17423377342542,21.693643007014543,26.97576682064992,27.529554351173704
1982-08-19,24.544035683568847,29.350385330150328,28.143234208257915,21.655739746455602,26.925299750248758,27.62188232396226
1982-08-20,24.47266389172253,29.373074461486986,28.098625371825307,21.645137846869716,26.913908632255282,27.666271238308735
1982-08-21,24.442724234435232,29.376777932313995,28.05376454393132,21.67751495922149,26.96358366260464,27.62201203562335
1982-08-22,24.461897571200964,29.359677422287394,28.01364707864431,21.738939351571062,27.052643657353986,27.510703138056563
1982-08-23,24.516042257968763,29.334952112894193,27.97678847539003,21.802022202532157,27.1474470903115,27.381884059022074
1982-08-24,24.59135288682007,29.30870519526488,27.94703990992272,21.862099423437225,27.250821888502177,27.23686807965899
